review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,21,222,2,Cumple expectativas,No cumplió mis expectativas.,True,7,2023-04-05
2,77,360,2,Recomendado,No cumplió mis expectativas.,True,18,2025-12-30
3,99,305,2,Buena calidad,El producto es correcto pero la entrega tardó.,True,12,2024-11-05
4,1,278,3,Excelente producto,No cumplió mis expectativas.,True,15,2023-08-29
5,63,267,4,Excelente producto,El producto es correcto pero la entrega tardó.,True,7,2024-08-05
6,47,306,2,Cumple expectativas,Bueno pero esperaba un poco más.,True,38,2025-03-20
7,98,223,2,No tan bueno,El producto es correcto pero la entrega tardó.,True,23,2023-03-09
8,3,42,5,Buena calidad,Llegó a tiempo y en perfecto estado.,True,47,2023-07-06
9,41,179,5,No tan bueno,No cumplió mis expectativas.,True,11,2023-04-29
10,77,333,3,Recomendado,Cumple con lo prometido.,True,40,2024-06-16
11,82,422,4,Excelente producto,Cumple con lo prometido.,True,23,2024-11-17
12,99,363,1,Recomendado,Llegó a tiempo y en perfecto estado.,True,47,2023-03-08
13,1,493,5,Muy bueno,Excelente relación calidad-precio.,True,47,2024-11-23
14,2,25,3,Buena calidad,Bueno pero esperaba un poco más.,True,46,2025-09-16
15,66,42,4,Muy bueno,Bueno pero esperaba un poco más.,True,4,2023-02-08
16,87,11,2,Cumple expectativas,Cumple con lo prometido.,True,44,2025-05-19
17,1,151,1,Muy bueno,Muy buena calidad por el precio.,False,2,2025-08-05
18,90,80,1,Podría mejorar,"Superó mis expectativas, lo recomiendo totalmente.",True,22,2025-03-05
19,5,38,3,Excelente producto,Bueno pero esperaba un poco más.,True,0,2023-05-21
20,23,98,4,Recomendado,No cumplió mis expectativas.,False,40,2025-03-10
21,43,72,5,Muy bueno,Cumple con lo prometido.,True,43,2024-01-27
22,68,458,1,Buena calidad,Muy buena calidad por el precio.,True,43,2023-11-21
23,42,123,3,No tan bueno,Bueno pero esperaba un poco más.,False,10,2025-01-20
24,99,453,5,Satisfecho,Muy buena calidad por el precio.,True,18,2025-04-16
