product_id,sku,product_name,description,category_id,brand_id,supplier_id,price,cost,weight_kg,is_active,created_at,updated_at
1,SKU-000001,Mega Set 1,Descripción detallada del producto 1,10,11,2,222.0,106.56,40.4,True,2022-02-03,2024-04-14
2,SKU-000002,Elite Pack 2,Descripción detallada del producto 2,4,7,2,53.34,26.14,2.1,True,2023-09-21,2024-02-24
3,SKU-000003,Elite Gadget 3,Descripción detallada del producto 3,7,14,2,257.12,149.13,41.0,True,2022-10-24,2025-11-15
4,SKU-000004,Básico Equipo 4,Descripción detallada del producto 4,9,5,5,92.04,53.38,3.3,True,2023-12-01,2025-12-24
5,SKU-000005,Mega Gadget 5,Descripción detallada del producto 5,9,6,5,339.29,234.11,31.1,True,2022-01-31,2024-09-02
6,SKU-000006,Super Herramienta 6,Descripción detallada del producto 6,5,10,8,169.11,93.01,25.6,True,2022-10-08,2025-06-26
7,SKU-000007,Básico Widget 7,Descripción detallada del producto 7,1,10,5,433.96,277.73,22.5,True,2022-12-09,2025-03-21
8,SKU-000008,Elite Equipo 8,Descripción detallada del producto 8,3,8,4,145.01,79.76,5.8,True,2022-11-06,2025-01-21
9,SKU-000009,Mega Artículo 9,Descripción detallada del producto 9,6,2,1,203.37,115.92,20.6,True,2023-05-27,2024-01-12
10,SKU-000010,Elite Producto 10,Descripción detallada del producto 10,6,15,2,152.55,94.58,41.3,True,2022-04-29,2024-10-16
11,SKU-000011,Ultra Herramienta 11,Descripción detallada del producto 11,8,13,5,168.45,99.39,43.4,True,2022-09-10,2024-01-17
12,SKU-000012,Premium Kit 12,Descripción detallada del producto 12,7,2,6,32.82,18.71,22.1,True,2022-10-12,2025-05-13
13,SKU-000013,Elite Dispositivo 13,Descripción detallada del producto 13,10,7,1,326.19,140.26,16.2,True,2023-02-02,2024-07-22
14,SKU-000014,Mini Artículo 14,Descripción detallada del producto 14,9,3,4,130.42,91.29,27.7,True,2022-06-29,2024-06-27
15,SKU-000015,Smart Dispositivo 15,Descripción detallada del producto 15,5,9,7,94.91,48.4,14.9,True,2022-12-15,2025-11-28
16,SKU-000016,Smart Dispositivo 16,Descripción detallada del producto 16,10,12,3,191.0,110.78,47.9,True,2023-12-30,2025-07-21
17,SKU-000017,Premium Equipo 17,Descripción detallada del producto 17,6,15,2,281.39,149.14,25.6,True,2022-03-25,2025-06-03
18,SKU-000018,Mini Kit 18,Descripción detallada del producto 18,3,4,8,146.65,96.79,7.4,True,2023-05-11,2025-10-12
19,SKU-000019,Mega Artículo 19,Descripción detallada del producto 19,7,5,4,448.42,242.15,29.2,False,2022-12-21,2024-01-31
20,SKU-000020,Mega Widget 20,Descripción detallada del producto 20,10,12,3,212.29,133.74,30.2,False,2022-10-08,2024-07-26
21,SKU-000021,Mega Equipo 21,Descripción detallada del producto 21,1,1,1,293.04,134.8,47.6,False,2022-05-24,2025-03-11
22,SKU-000022,Elite Kit 22,Descripción detallada del producto 22,8,12,3,101.68,55.92,8.8,True,2022-07-16,2024-09-27
23,SKU-000023,Ultra Herramienta 23,Descripción detallada del producto 23,9,13,5,412.71,177.47,45.4,False,2022-10-04,2025-02-23
24,SKU-000024,Ultra Artículo 24,Descripción detallada del producto 24,1,4,4,275.67,187.46,48.9,True,2022-09-02,2024-01-04
25,SKU-000025,Max Artículo 25,Descripción detallada del producto 25,9,2,5,11.18,6.48,8.8,True,2022-04-29,2025-08-31
26,SKU-000026,Mini Herramienta 26,Descripción detallada del producto 26,1,5,6,130.53,57.43,40.8,True,2022-07-02,2024-09-03
27,SKU-000027,Ultra Equipo 27,Descripción detallada del producto 27,10,6,1,181.58,103.5,26.8,True,2023-07-12,2024-06-06
28,SKU-000028,Super Kit 28,Descripción detallada del producto 28,1,5,8,359.53,151.0,30.9,False,2022-09-22,2025-03-10
29,SKU-000029,Smart Set 29,Descripción detallada del producto 29,5,13,5,423.54,271.07,20.0,False,2022-04-24,2024-08-31
30,SKU-000030,Max Herramienta 30,Descripción detallada del producto 30,2,12,2,495.43,198.17,48.2,True,2022-05-20,2025-10-18
31,SKU-000031,Smart Herramienta 31,Descripción detallada del producto 31,5,7,5,411.63,288.14,26.1,True,2023-02-03,2025-11-06
32,SKU-000032,Smart Equipo 32,Descripción detallada del producto 32,4,9,4,57.95,30.13,39.4,True,2023-06-02,2024-12-31
33,SKU-000033,Ultra Pack 33,Descripción detallada del producto 33,1,9,1,477.57,319.97,34.4,False,2023-12-19,2025-09-19
34,SKU-000034,Pro Dispositivo 34,Descripción detallada del producto 34,6,10,6,204.25,104.17,47.9,True,2023-10-16,2024-10-16
35,SKU-000035,Básico Herramienta 35,Descripción detallada del producto 35,5,3,1,21.67,9.97,12.6,True,2023-08-21,2025-04-07
36,SKU-000036,Ultra Gadget 36,Descripción detallada del producto 36,9,11,1,73.48,48.5,26.6,True,2022-07-31,2024-02-21
37,SKU-000037,Elite Gadget 37,Descripción detallada del producto 37,3,11,7,150.09,91.55,32.7,True,2022-05-10,2024-10-29
38,SKU-000038,Básico Producto 38,Descripción detallada del producto 38,10,4,1,489.74,210.59,37.6,True,2022-03-01,2025-04-21
39,SKU-000039,Ultra Herramienta 39,Descripción detallada del producto 39,9,12,4,237.28,125.76,16.3,True,2022-02-28,2025-11-26
40,SKU-000040,Pro Producto 40,Descripción detallada del producto 40,6,14,7,326.09,205.44,48.5,True,2022-08-25,2025-06-15
41,SKU-000041,Básico Equipo 41,Descripción detallada del producto 41,4,11,6,375.65,199.09,23.0,True,2022-11-11,2024-03-08
42,SKU-000042,Mega Pack 42,Descripción detallada del producto 42,4,7,3,98.37,65.91,24.5,False,2022-12-16,2024-03-11
43,SKU-000043,Premium Producto 43,Descripción detallada del producto 43,3,5,8,454.59,304.58,29.1,True,2022-06-05,2025-02-13
44,SKU-000044,Mini Dispositivo 44,Descripción detallada del producto 44,2,8,7,21.09,9.49,7.5,True,2022-01-04,2024-11-10
45,SKU-000045,Básico Kit 45,Descripción detallada del producto 45,10,7,5,497.1,208.78,14.9,True,2023-11-25,2025-04-03
46,SKU-000046,Básico Dispositivo 46,Descripción detallada del producto 46,9,11,6,374.01,205.71,0.9,True,2023-05-14,2024-09-25
47,SKU-000047,Pro Set 47,Descripción detallada del producto 47,6,5,7,93.04,62.34,33.5,True,2023-05-16,2025-06-06
48,SKU-000048,Mini Set 48,Descripción detallada del producto 48,1,6,8,429.54,176.11,13.6,True,2023-11-29,2024-09-03
49,SKU-000049,Smart Producto 49,Descripción detallada del producto 49,10,11,8,480.88,250.06,12.9,True,2022-06-07,2025-05-31
50,SKU-000050,Smart Producto 50,Descripción detallada del producto 50,6,6,2,36.53,25.57,45.3,True,2023-04-12,2024-12-06
51,SKU-000051,Premium Producto 51,Descripción detallada del producto 51,7,11,1,418.71,251.23,39.9,True,2022-12-17,2025-10-12
52,SKU-000052,Smart Kit 52,Descripción detallada del producto 52,8,11,7,356.18,163.84,4.4,True,2022-11-07,2025-05-29
53,SKU-000053,Max Producto 53,Descripción detallada del producto 53,3,10,6,22.25,14.02,48.8,True,2023-12-31,2024-05-13
54,SKU-000054,Elite Kit 54,Descripción detallada del producto 54,9,15,7,74.12,40.77,12.9,True,2022-03-26,2025-06-28
55,SKU-000055,Mini Set 55,Descripción detallada del producto 55,5,3,2,91.47,36.59,39.0,True,2022-12-27,2025-07-21
56,SKU-000056,Ultra Herramienta 56,Descripción detallada del producto 56,8,4,2,240.86,96.34,3.0,False,2022-12-12,2024-08-05
57,SKU-000057,Ultra Kit 57,Descripción detallada del producto 57,3,3,5,29.46,17.97,25.3,True,2022-10-29,2025-02-03
58,SKU-000058,Mini Gadget 58,Descripción detallada del producto 58,6,14,8,428.71,205.78,15.3,True,2023-08-30,2024-08-16
59,SKU-000059,Super Set 59,Descripción detallada del producto 59,3,15,7,368.02,220.81,21.7,True,2023-08-24,2024-07-11
60,SKU-000060,Elite Herramienta 60,Descripción detallada del producto 60,3,1,1,121.06,66.58,30.2,True,2023-02-01,2025-11-05
61,SKU-000061,Max Pack 61,Descripción detallada del producto 61,7,15,5,178.01,103.25,6.3,True,2022-07-06,2024-09-26
62,SKU-000062,Super Gadget 62,Descripción detallada del producto 62,2,3,8,286.67,192.07,48.5,True,2023-05-31,2025-01-06
63,SKU-000063,Básico Set 63,Descripción detallada del producto 63,7,10,4,211.11,122.44,43.7,True,2022-09-03,2025-08-10
64,SKU-000064,Mini Producto 64,Descripción detallada del producto 64,6,7,8,312.37,196.79,32.3,True,2022-01-07,2024-10-08
65,SKU-000065,Premium Dispositivo 65,Descripción detallada del producto 65,9,6,1,135.24,70.32,21.3,True,2023-10-29,2024-08-31
66,SKU-000066,Básico Pack 66,Descripción detallada del producto 66,3,6,3,82.04,38.56,12.1,True,2022-03-27,2025-06-28
67,SKU-000067,Pro Pack 67,Descripción detallada del producto 67,3,1,4,190.73,122.07,12.5,True,2023-01-08,2024-10-19
68,SKU-000068,Premium Kit 68,Descripción detallada del producto 68,4,6,7,334.58,187.36,26.8,False,2023-09-20,2025-12-26
69,SKU-000069,Mega Widget 69,Descripción detallada del producto 69,9,1,2,175.72,86.1,48.0,True,2023-05-01,2024-10-27
70,SKU-000070,Smart Kit 70,Descripción detallada del producto 70,6,6,1,300.78,180.47,14.0,True,2022-08-06,2024-10-20
71,SKU-000071,Mini Artículo 71,Descripción detallada del producto 71,4,12,3,312.55,128.15,43.5,True,2023-03-31,2024-02-17
72,SKU-000072,Premium Dispositivo 72,Descripción detallada del producto 72,8,12,7,261.32,146.34,42.8,False,2022-01-25,2025-07-27
73,SKU-000073,Pro Gadget 73,Descripción detallada del producto 73,1,12,1,255.68,125.28,13.6,True,2022-11-02,2025-11-30
74,SKU-000074,Pro Artículo 74,Descripción detallada del producto 74,4,4,2,379.85,205.12,46.7,True,2023-01-16,2025-01-26
75,SKU-000075,Mini Kit 75,Descripción detallada del producto 75,1,3,3,311.66,143.36,16.5,True,2022-02-07,2025-09-09
76,SKU-000076,Smart Producto 76,Descripción detallada del producto 76,2,5,8,151.43,68.14,8.8,True,2022-09-07,2025-06-30
77,SKU-000077,Super Herramienta 77,Descripción detallada del producto 77,8,10,6,178.9,107.34,16.3,True,2023-01-31,2025-07-10
78,SKU-000078,Super Set 78,Descripción detallada del producto 78,8,9,5,113.55,76.08,35.7,True,2023-06-11,2024-09-18
79,SKU-000079,Ultra Artículo 79,Descripción detallada del producto 79,3,2,7,265.68,135.5,48.9,True,2023-09-13,2025-10-23
80,SKU-000080,Mega Artículo 80,Descripción detallada del producto 80,1,8,4,457.79,302.14,2.6,True,2023-01-08,2024-09-20
81,SKU-000081,Ultra Equipo 81,Descripción detallada del producto 81,8,10,7,144.13,66.3,44.2,True,2023-01-09,2024-02-21
82,SKU-000082,Mini Gadget 82,Descripción detallada del producto 82,7,13,2,156.37,64.11,0.9,True,2023-08-01,2024-04-13
83,SKU-000083,Ultra Equipo 83,Descripción detallada del producto 83,6,6,4,70.7,28.99,28.5,True,2022-08-28,2025-03-01
84,SKU-000084,Pro Equipo 84,Descripción detallada del producto 84,8,10,7,376.31,161.81,39.4,True,2023-06-06,2025-01-21
85,SKU-000085,Max Gadget 85,Descripción detallada del producto 85,5,4,5,471.23,226.19,11.5,True,2022-02-18,2024-06-09
86,SKU-000086,Smart Producto 86,Descripción detallada del producto 86,10,3,8,414.94,199.17,3.9,True,2022-11-29,2025-07-28
87,SKU-000087,Premium Set 87,Descripción detallada del producto 87,9,6,6,436.57,222.65,43.3,True,2022-02-15,2024-01-22
88,SKU-000088,Premium Set 88,Descripción detallada del producto 88,10,4,2,359.38,201.25,8.1,True,2023-01-30,2024-11-13
89,SKU-000089,Smart Gadget 89,Descripción detallada del producto 89,8,4,2,394.77,236.86,21.5,True,2023-10-13,2024-08-23
90,SKU-000090,Elite Pack 90,Descripción detallada del producto 90,5,13,4,55.53,26.65,10.2,True,2022-11-09,2025-01-22
91,SKU-000091,Mini Kit 91,Descripción detallada del producto 91,7,4,1,309.97,170.48,15.6,True,2023-03-26,2025-08-03
92,SKU-000092,Pro Producto 92,Descripción detallada del producto 92,6,9,4,179.48,80.77,49.2,True,2023-07-16,2024-11-27
93,SKU-000093,Super Artículo 93,Descripción detallada del producto 93,6,10,4,385.7,192.85,24.7,True,2023-12-07,2025-03-19
94,SKU-000094,Premium Dispositivo 94,Descripción detallada del producto 94,9,6,8,188.36,109.25,8.9,True,2022-06-02,2025-08-24
95,SKU-000095,Elite Dispositivo 95,Descripción detallada del producto 95,2,13,7,86.4,55.3,1.5,True,2023-11-21,2024-06-22
96,SKU-000096,Smart Artículo 96,Descripción detallada del producto 96,1,2,5,492.83,226.7,10.3,True,2023-07-06,2025-12-22
97,SKU-000097,Premium Artículo 97,Descripción detallada del producto 97,5,5,4,209.59,123.66,5.5,False,2023-07-14,2025-09-30
98,SKU-000098,Elite Set 98,Descripción detallada del producto 98,6,14,3,471.22,226.19,42.9,True,2022-03-16,2024-03-18
99,SKU-000099,Básico Artículo 99,Descripción detallada del producto 99,10,14,8,456.46,305.83,12.9,True,2023-10-15,2025-05-05
100,SKU-000100,Smart Set 100,Descripción detallada del producto 100,10,11,6,8.67,5.29,12.1,True,2023-06-21,2025-06-05
